Generation,Best,Mean,Low
0,274,9.48,0
1,274,13.05,0
2,274,14.13,0
3,274,17.97,0
4,275,25.42,0
5,275,26.4,0
6,275,32.04,0
7,275,32.96,0
8,288,39.07,0
9,288,45.61,0
10,288,54.3,0
11,288,61.48,0
12,288,65.57,0
13,288,72.43,0
14,290,85.81,0
15,290,90.91,0
16,290,109.26,0
17,346,138.22,0
18,399,155.28,0
19,399,178.89,0
20,407,206.3,0
21,407,205.51,0
22,407,222.83,0
23,407,227.56,0
24,407,225.91,0
25,407,230.37,0
26,407,231.7,0
27,407,238.86,0
28,407,240.82,0
29,407,247.1,0
30,407,250.54,0
31,407,259.71,0
32,407,259.01,0
33,407,259.75,0
34,407,260.71,0
35,407,267.87,0
36,407,266.4,0
37,407,272.55,0
38,407,271.9,0
39,407,269.9,0
40,407,275.37,0
41,407,280.74,0
42,407,281.04,0
43,407,283.73,0
44,407,283.31,0
45,407,284.61,0
46,407,286.69,0
47,407,289.84,0
48,407,291.71,18
49,407,290.84,112
50,407,286.95,108
51,407,280.88,112
52,407,289.19,115
53,407,284.5,114
54,407,287.99,116
55,407,290.1,30
56,407,297.49,21
57,407,295.42,117
58,407,285.27,112
59,407,288.33,114
60,407,287.65,39
61,407,290.88,26
62,407,286.63,20
63,407,288.93,26
64,407,287.07,19
65,407,287.94,16
66,407,294.3,16
67,407,288.98,16
68,407,288.05,16
69,407,295.17,16
70,407,280.68,116
71,407,283.17,112
72,407,289.68,112
73,407,286.91,110
74,407,284.01,112
75,407,286.38,107
76,407,292.97,107
77,407,285.79,115
78,407,294.66,110
79,407,300.44,113
80,407,293.77,111
81,407,283.83,112
82,407,286.83,111
83,407,281.78,110
84,407,290.84,111
85,407,289.53,111
86,407,292.07,109
87,407,293.41,113
88,407,286.91,111
89,407,290.13,112
90,407,293.66,115
91,407,300.67,115
92,407,294.48,115
93,407,287.14,113
94,407,296.13,112
95,407,300.78,117
96,407,291.81,112
97,407,296.74,111
98,407,291.25,113
99,407,288.21,38
