Generation,Best,Mean,Low
277,420,316.022,0
278,420,317.179,0
279,420,318.883,0
280,420,317.656,0
281,420,318.279,0
282,420,319.924,0
283,420,317.047,0
284,420,315.329,0
285,420,320.853,0
286,420,316.048,0
287,420,316.739,0
288,420,316.381,0
289,420,323.077,0
290,420,315.551,0
291,420,315.954,0
292,420,317.267,0
293,420,320.756,0
294,420,316.437,0
295,420,318.224,0
296,420,316.019,0
297,420,316.667,0
298,420,322.961,0
299,420,315.197,0
300,420,317.661,0
301,420,316.269,0
302,420,317.021,0
303,420,320.339,0
304,420,317.169,0
305,420,319.273,0
306,420,325.193,0
307,420,315.157,0
308,420,315.087,0
309,420,315.27,0
310,420,315.991,0
311,420,317.357,0
312,420,317.334,0
313,420,318.484,0
314,420,324.881,0
315,420,315.397,0
316,420,317.121,0
317,420,323.397,0
318,420,316.958,0
319,420,316.925,0
320,420,321.832,0
321,420,315.263,0
322,420,318.79,0
323,420,320.732,0
324,420,316.128,0
325,420,316.878,0
326,420,317.204,0
327,420,319.148,0
328,420,323.594,0
329,420,315.883,0
330,420,319.872,0
331,420,325.889,0
332,420,316.056,0
333,420,315.155,0
334,420,315.866,0
335,420,315.887,0
336,420,316.787,0
337,420,323.602,0
338,420,315.46,0
339,420,318.53,0
340,420,324.781,0
341,420,317.104,0
342,420,317.002,0
343,420,317.655,0
344,420,324.409,0
345,420,315.851,0
346,420,320.192,0
347,420,318.147,0
348,420,319.202,0
349,420,325.38,0
350,420,316.078,0
351,420,314.857,0
352,420,318.204,0
353,420,318.865,0
354,420,322.776,0
355,420,323.329,0
356,420,325.799,0
357,420,315.883,0
358,420,317.746,0
359,420,316.534,0
360,420,323.41,0
361,420,316.472,0
362,420,318.658,0
363,420,323.898,0
364,420,318.333,0
365,420,321.221,0
366,420,318.777,0
367,420,320.542,0
368,420,326.185,0
369,420,315.872,0
370,420,316.196,0
371,420,316.589,0
372,420,316.714,0
373,420,317.788,0
374,420,316.463,0
375,420,323.031,0
376,420,315.495,0
377,420,314.912,0
378,420,316.246,0
379,420,316.752,0
380,420,318.15,0
381,420,319.353,0
382,420,317.298,0
383,420,320.486,0
384,420,318.694,0
385,420,320.404,0
386,420,320.143,0
387,420,322.287,0
388,420,316.782,0
389,420,320.173,0
390,420,321.88,0
391,420,316.789,0
392,420,317.35,0
393,420,324.131,0
394,420,316.122,0
395,420,314.405,0
396,420,317.26,0
397,420,318.49,0
398,420,324.918,0
399,420,314.949,0
400,420,316.081,0
401,420,317.249,0
402,420,315.538,0
403,420,322.957,0
404,420,318.74,0
405,420,318.883,0
406,420,320.587,0
407,420,320.853,0
408,420,325.678,0
409,420,316.326,0
410,420,314.975,0
411,420,314.479,0
412,420,315.886,0
413,420,322.931,0
414,420,314.81,0
415,420,319.31,0
416,420,315.929,0
417,420,317.971,0
418,420,316.026,0
419,420,322.819,0
420,420,318.476,0
421,420,321.325,0
422,420,317.524,0
423,420,321.502,0
424,420,318.22,0
425,420,323.837,0
426,420,317.056,0
427,420,317.214,0
428,420,324.553,0
429,420,317.086,0
430,420,320.678,0
431,420,326.211,0
432,422,315.772,0
433,422,315.614,0
434,422,316.054,0
435,422,323.24,0
436,422,315.289,0
437,422,318.14,0
438,422,315.418,0
439,422,323.216,0
440,422,316.186,0
441,422,317.036,0
442,422,323.806,0
443,422,317.049,0
444,422,320.283,0
445,422,316.049,0
446,422,319.01,0
447,422,324.499,0
448,422,315.599,0
449,422,316.726,0
450,422,317.619,0
451,422,323.86,0
452,422,317.49,0
453,422,320.6,0
454,422,325.828,0
455,422,316.556,0
456,422,315.399,0
457,422,315.3,0
458,422,314.908,0
459,422,315.4,0
460,422,322.428,0
461,422,317.438,0
462,422,321.109,0
463,422,318.466,0
464,422,321.268,0
465,422,326.69,0
466,422,316.947,0
467,422,315.872,0
468,422,317.037,0
469,422,318.714,0
470,422,320.133,0
471,422,320.928,0
472,422,325.423,0
473,422,315.773,0
474,422,315.419,0
475,422,318.612,0
476,422,325.531,0
477,422,317.16,0
478,422,315.444,0
479,422,317.211,0
480,422,315.86,0
481,422,318.306,0
482,422,324.401,0
483,422,315.462,0
484,422,320.939,0
485,422,326.629,0
486,422,316.716,0
487,422,315.697,0
488,422,323.234,0
489,422,325.469,0
490,422,315.96,0
491,422,319.909,0
492,422,315.977,0
493,422,314.964,0
494,422,322.259,0
495,422,317.139,0
496,422,316.657,0
497,422,315.195,0
498,422,323.185,0
499,422,316.37,0
500,422,315.984,0
501,422,315.134,0
502,422,321.988,0
503,422,317.069,0
504,422,319.617,0
505,422,326.789,0
506,422,317.438,0
507,422,321.19,0
508,422,315.974,0
509,422,316.121,0
510,422,323.643,0
511,422,316.99,0
512,422,320.653,0
513,422,325.574,0
514,422,315.638,0
515,422,315.757,0
516,422,316.566,0
517,422,321.468,0
518,422,326.901,0
519,422,317.534,0
520,422,321.33,0
521,422,326.699,0
522,422,319.011,0
523,422,320.796,0
524,422,326.251,0
525,422,318.368,0
526,422,321.601,0
527,422,327.914,0
528,422,316.985,0
529,422,316.127,0
530,422,315.672,0
531,422,320.543,0
532,422,317.933,0
533,422,315.671,0
534,422,316.355,0
535,422,320.785,0
536,422,318.231,0
537,422,317.855,0
538,422,320.196,0
539,422,322.121,0
540,422,316.079,0
541,422,319.33,0
542,422,320.858,0
543,422,316.576,0
544,422,321.759,0
545,422,318.711,0
546,422,316.245,0
547,422,317.783,0
548,422,320.962,0
549,422,321.115,0
550,422,314.842,0
551,422,317.026,0
552,422,325.064,0
553,422,316.667,0
554,422,317.555,0
555,422,317.596,0
556,422,319.844,0
557,422,323.006,0
558,422,317.315,0
559,422,318.076,0
560,422,319.536,0
561,422,321.575,0
562,422,316.664,0
563,422,320.028,0
564,422,326.169,0
565,422,316.264,0
566,422,316.066,0
567,422,320.413,0
568,422,322.143,0
569,422,315.504,0
570,422,318.658,0
571,422,316.342,0
572,422,323.556,0
573,422,316.925,0
574,422,318.718,0
575,422,319.148,0
576,422,319.323,0
577,422,325.419,0
578,422,318.098,0
579,422,317.53,0
580,422,322.772,0
581,422,323.186,0
582,422,318.585,0
583,422,318.746,0
584,422,325.568,0
585,422,318.252,0
586,422,319.148,0
587,422,321.629,0
588,422,324.923,0
589,422,316.974,0
590,422,319.535,0
591,422,324.766,0
592,422,317.688,0
593,422,321.515,0
594,422,316.714,0
595,422,320.291,0
596,422,325.381,0
597,422,317.016,0
598,422,320.857,0
599,422,326.495,0
600,422,316.827,0
601,422,316.758,0
602,422,318.255,0
603,422,324.575,0
604,422,317.144,0
605,422,317.801,0
606,422,316.662,0
607,422,324.011,0
608,422,316.318,0
609,422,320.289,0
610,422,322.16,0
611,422,324.091,0
612,422,315.857,0
613,422,320.964,0
614,422,326.11,0
615,422,317.628,0
616,422,321.404,0
617,422,317.25,0
618,422,320.54,0
619,422,325.671,0
620,422,316.353,0
621,422,321.146,0
622,422,326.698,0
623,422,316.968,0
624,422,315.855,0
625,422,317.535,0
626,422,324.931,0
627,422,317.034,0
628,422,319.556,0
629,422,325.846,0
630,422,318.077,0
631,422,318.702,0
632,422,325.242,0
633,422,319.234,0
