Generation,Best,Mean,Low
0,265,12.02,0
1,265,12.14,0
2,265,15.75,0
3,265,20.73,0
4,265,24.31,0
5,309,30.71,0
6,309,35.75,0
7,309,42.76,0
8,309,52.31,0
9,309,61.85,0
10,309,74.31,0
11,309,80.77,0
12,341,91.37,0
13,341,91.43,0
14,341,101.47,0
15,377,119.7,0
16,377,130.8,0
17,397,158.8,0
18,397,190.5,0
19,397,203.22,0
20,397,218.44,0
21,397,220.96,0
22,397,229.6,0
23,397,230.21,0
24,397,230.26,0
25,409,239.69,0
26,409,244.65,0
27,409,251.22,0
28,409,246.3,0
29,409,248.22,0
30,409,256.36,0
31,409,253.4,0
32,409,256.52,0
33,409,261.99,0
34,409,262,0
35,409,265.26,0
36,409,262.2,0
37,409,266.76,0
38,410,269.28,0
39,410,265.83,0
40,410,265,0
41,410,270.61,0
42,410,269.06,0
43,410,270.91,0
44,410,274.36,0
45,410,280.54,0
46,410,286.34,0
47,410,275.43,0
48,410,271.08,0
49,410,275.62,0
50,410,286.33,0
51,410,290.86,0
52,410,288.72,0
53,410,285.12,0
54,410,290.84,0
55,414,299.54,0
56,414,299.06,0
57,414,309.14,0
58,414,311.23,0
59,414,328.99,117
60,414,324.81,0
61,414,323.72,0
62,414,327.97,0
63,414,332.66,0
64,414,346.14,0
65,414,344.66,0
66,414,347.03,0
67,414,360.26,118
68,414,363.1,119
69,414,365.06,118
70,414,366.56,118
71,414,367.44,119
72,414,368.27,119
73,414,369.02,119
74,414,360.82,118
75,414,368.12,118
76,414,362.39,118
77,414,355.04,118
78,414,355.36,119
79,414,368.13,119
80,414,363.04,119
81,414,362.11,118
82,414,354.97,118
83,414,352.82,119
84,414,357.53,118
85,414,357.52,118
86,414,358,119
87,414,371.92,119
88,414,363.41,119
89,414,366.03,118
90,414,365.97,119
91,414,360.79,119
92,414,368.93,119
93,414,363.72,118
94,414,355.96,118
95,414,363.9,118
96,414,366.17,118
97,414,375.07,119
98,414,364.42,118
99,414,364.42,118
