Generation,Best,Mean,Low
0,334,10.66,0
1,334,11.94,0
2,334,12.48,0
3,334,15.68,0
4,334,17.22,0
5,334,19.66,0
6,334,21.55,0
7,334,24.76,0
8,334,26.08,0
9,334,31.45,0
10,334,32.81,0
11,334,34.66,0
12,334,42.55,0
13,334,48.96,0
14,402,58.87,0
15,402,63.32,0
16,402,85.05,0
17,402,96.33,0
18,402,98.61,0
19,402,104.71,0
20,402,105.36,0
21,402,110.03,0
22,402,120.3,0
23,402,131.07,0
24,402,144.42,0
25,402,166.6,0
26,402,183.46,0
27,402,215.88,0
28,402,243.82,0
29,402,259.59,0
30,402,264.38,0
31,402,265.07,0
32,402,272,0
33,402,273.22,0
34,402,284.27,0
35,402,277.34,0
36,404,275.89,0
37,404,283.31,0
38,409,291.72,0
39,409,298.35,0
40,409,291.98,0
41,409,294.77,0
42,409,303.55,0
43,409,309.5,30
44,409,296.36,0
45,409,300.83,0
46,410,295.24,0
47,410,299.18,0
48,410,306.44,0
49,410,309.21,0
50,410,302.67,0
51,410,301.03,0
52,410,306.94,0
53,410,317.03,0
54,410,303.5,0
55,410,303.97,0
56,410,307.04,0
57,410,311.31,0
58,410,314.31,0
59,410,313.63,0
60,411,328.68,0
61,411,310.32,0
62,411,316.14,0
63,411,298.16,0
64,411,299.55,0
65,411,302.57,0
66,411,318.29,0
67,411,298.4,0
68,411,307.76,0
69,411,321.74,0
70,411,304.62,0
71,411,301.21,0
72,411,317.75,0
73,411,303.75,0
74,411,309.78,0
75,411,316.64,0
76,411,311.15,0
77,411,308.51,0
78,411,316.98,0
79,411,319.95,0
80,411,320.06,0
81,411,314.82,0
82,411,324.14,0
83,411,309.96,0
84,411,321.19,0
85,411,315.87,0
86,411,330.28,27
87,411,306.82,0
88,411,302.79,0
89,411,309.19,0
90,411,316.64,0
91,411,321.31,0
92,411,315.97,0
93,411,311.35,0
94,411,295.97,0
95,411,297.9,0
96,411,303.9,0
97,411,302.65,35
98,411,304.55,0
99,411,316.19,0
