Controller,Input,Set,Height,CentreX,Left Base,Right Base,Left Top,Right Top
0,0,0,1,0,0,350,0,184
0,0,1,1,500,384,371,193,161
0,0,2,1,1000,445,0,194,0
0,1,0,1,-30,0,25,0,13
0,1,1,1,0,23,26,11,7
0,1,2,1,30,28,0,9,0
1,0,0,1,0,0,377,0,203
1,0,1,1,500,380,333,186,176
1,0,2,1,1000,388,0,225,0
1,1,0,1,-30,0,25,0,13
1,1,1,1,0,23,26,11,7
1,1,2,1,30,28,0,9,0
2,0,0,1,0,0,350,0,184
2,0,1,1,500,384,371,215,139
2,0,2,1,1000,445,0,194,0
2,1,0,1,-30,0,25,0,13
2,1,1,1,0,23,26,11,7
2,1,2,1,30,28,0,9,0
3,0,0,1,0,0,350,0,184
3,0,1,1,500,384,371,193,161
3,0,2,1,1000,445,0,194,0
3,1,0,1,-30,0,25,0,13
3,1,1,1,0,23,26,9,9
3,1,2,1,30,26,0,9,0
4,0,0,1,0,0,368,0,194
4,0,1,1,500,361,380,238,154
4,0,2,1,1000,404,0,211,0
4,1,0,1,-30,0,25,0,13
4,1,1,1,0,23,26,9,9
4,1,2,1,30,28,0,9,0
5,0,0,1,0,0,350,0,184
5,0,1,1,500,384,371,193,161
5,0,2,1,1000,445,0,194,0
5,1,0,1,-30,0,25,0,13
5,1,1,1,0,23,26,11,7
5,1,2,1,30,28,0,9,0
6,0,0,1,0,0,350,0,184
6,0,1,1,500,334,421,193,161
6,0,2,1,1000,445,0,165,0
6,1,0,1,-30,0,25,0,13
6,1,1,1,0,23,26,11,7
6,1,2,1,30,28,0,9,0
7,0,0,1,0,0,344,0,184
7,0,1,1,500,384,371,193,161
7,0,2,1,1000,465,0,194,0
7,1,0,1,-30,0,25,0,13
7,1,1,1,0,23,26,11,7
7,1,2,1,30,28,0,7,0
8,0,0,1,0,0,350,0,184
8,0,1,1,500,384,371,193,161
8,0,2,1,1000,445,0,194,0
8,1,0,1,-30,0,22,0,12
8,1,1,1,0,26,23,14,13
8,1,2,1,30,26,0,13,0
9,0,0,1,0,0,378,0,194
9,0,1,1,500,361,380,238,154
9,0,2,1,1000,404,0,171,0
9,1,0,1,-30,0,25,0,13
9,1,1,1,0,23,26,9,9
9,1,2,1,30,26,0,9,0
10,0,0,1,0,0,350,0,184
10,0,1,1,500,384,371,193,161
10,0,2,1,1000,445,0,161,0
10,1,0,1,-30,0,24,0,10
10,1,1,1,0,21,22,13,9
10,1,2,1,30,24,0,13,0
11,0,0,1,0,0,365,0,174
11,0,1,1,500,397,402,214,181
11,0,2,1,1000,433,0,156,0
11,1,0,1,-30,0,21,0,9
11,1,1,1,0,21,22,10,14
11,1,2,1,30,26,0,11,0
12,0,0,1,0,0,365,0,207
12,0,1,1,500,397,402,214,181
12,0,2,1,1000,433,0,156,0
12,1,0,1,-30,0,24,0,10
12,1,1,1,0,21,22,13,9
12,1,2,1,30,24,0,13,0
13,0,0,1,0,0,350,0,184
13,0,1,1,500,384,371,193,161
13,0,2,1,1000,445,0,218,0
13,1,0,1,-30,0,24,0,14
13,1,1,1,0,23,22,10,12
13,1,2,1,30,26,0,13,0
14,0,0,1,0,0,405,0,231
14,0,1,1,500,317,336,238,154
14,0,2,1,1000,404,0,211,0
14,1,0,1,-30,0,21,0,9
14,1,1,1,0,21,22,10,14
14,1,2,1,30,26,0,11,0
15,0,0,1,0,0,350,0,184
15,0,1,1,500,384,371,193,161
15,0,2,1,1000,445,0,194,0
15,1,0,1,-30,0,25,0,13
15,1,1,1,0,23,26,11,7
15,1,2,1,30,28,0,9,0
16,0,0,1,0,0,350,0,184
16,0,1,1,500,384,371,193,161
16,0,2,1,1000,445,0,218,0
16,1,0,1,-30,0,24,0,14
16,1,1,1,0,23,22,10,12
16,1,2,1,30,26,0,13,0
17,0,0,1,0,0,350,0,184
17,0,1,1,500,384,371,215,139
17,0,2,1,1000,445,0,194,0
17,1,0,1,-30,0,25,0,13
17,1,1,1,0,23,26,11,7
17,1,2,1,30,28,0,9,0
18,0,0,1,0,0,365,0,187
18,0,1,1,500,387,373,238,193
18,0,2,1,1000,391,0,223,0
18,1,0,1,-30,0,21,0,13
18,1,1,1,0,22,21,13,12
18,1,2,1,30,25,0,14,0
19,0,0,1,0,0,392,0,149
19,0,1,1,500,398,385,156,124
19,0,2,1,1000,445,0,241,0
19,1,0,1,-30,0,25,0,13
19,1,1,1,0,23,26,9,9
19,1,2,1,30,26,0,9,0
20,0,0,1,0,0,350,0,184
20,0,1,1,500,384,371,193,161
20,0,2,1,1000,445,0,194,0
20,1,0,1,-30,0,25,0,13
20,1,1,1,0,23,26,9,9
20,1,2,1,30,26,0,9,0
21,0,0,1,0,0,350,0,184
21,0,1,1,500,384,371,193,161
21,0,2,1,1000,445,0,165,0
21,1,0,1,-30,0,21,0,13
21,1,1,1,0,22,21,13,12
21,1,2,1,30,25,0,14,0
22,0,0,1,0,0,383,0,189
22,0,1,1,500,439,396,210,209
22,0,2,1,1000,430,0,199,0
22,1,0,1,-30,0,25,0,13
22,1,1,1,0,23,26,9,9
22,1,2,1,30,26,0,9,0
23,0,0,1,0,0,383,0,189
23,0,1,1,500,439,396,210,209
23,0,2,1,1000,430,0,217,0
23,1,0,1,-30,0,23,0,9
23,1,1,1,0,21,22,10,14
23,1,2,1,30,26,0,11,0
24,0,0,1,0,0,377,0,203
24,0,1,1,500,380,333,186,176
24,0,2,1,1000,388,0,225,0
24,1,0,1,-30,0,25,0,13
24,1,1,1,0,23,26,11,7
24,1,2,1,30,28,0,9,0
25,0,0,1,0,0,368,0,194
25,0,1,1,500,361,380,238,154
25,0,2,1,1000,404,0,211,0
25,1,0,1,-30,0,21,0,13
25,1,1,1,0,22,21,13,12
25,1,2,1,30,25,0,14,0
26,0,0,1,0,0,350,0,184
26,0,1,1,500,384,371,193,161
26,0,2,1,1000,445,0,194,0
26,1,0,1,-30,0,22,0,12
26,1,1,1,0,26,24,9,13
26,1,2,1,30,25,0,9,0
27,0,0,1,0,0,350,0,184
27,0,1,1,500,384,371,215,139
27,0,2,1,1000,445,0,194,0
27,1,0,1,-30,0,25,0,13
27,1,1,1,0,23,26,11,7
27,1,2,1,30,28,0,9,0
28,0,0,1,0,0,350,0,184
28,0,1,1,500,384,371,193,161
28,0,2,1,1000,445,0,194,0
28,1,0,1,-30,0,25,0,13
28,1,1,1,0,23,26,9,9
28,1,2,1,30,26,0,9,0
29,0,0,1,0,0,350,0,184
29,0,1,1,500,384,371,193,161
29,0,2,1,1000,445,0,165,0
29,1,0,1,-30,0,23,0,9
29,1,1,1,0,21,22,10,14
29,1,2,1,30,26,0,11,0
30,0,0,1,0,0,350,0,184
30,0,1,1,500,384,371,193,161
30,0,2,1,1000,445,0,161,0
30,1,0,1,-30,0,25,0,13
30,1,1,1,0,21,24,9,9
30,1,2,1,30,26,0,9,0
31,0,0,1,0,0,319,0,184
31,0,1,1,500,384,371,193,161
31,0,2,1,1000,445,0,165,0
31,1,0,1,-30,0,25,0,13
31,1,1,1,0,23,26,9,9
31,1,2,1,30,28,0,9,0
32,0,0,1,0,0,350,0,189
32,0,1,1,500,384,371,193,161
32,0,2,1,1000,429,0,194,0
32,1,0,1,-30,0,25,0,13
32,1,1,1,0,23,26,9,9
32,1,2,1,30,28,0,9,0
33,0,0,1,0,0,383,0,189
33,0,1,1,500,398,355,210,209
33,0,2,1,1000,430,0,217,0
33,1,0,1,-30,0,24,0,14
33,1,1,1,0,23,22,10,12
33,1,2,1,30,26,0,13,0
34,0,0,1,0,0,350,0,184
