Controller,Input,Set,Height,CentreX,Left Base,Right Base,Left Top,Right Top
0,0,0,1,0,0,353,0,200
0,0,1,1,500,338,447,163,249
0,0,2,1,1000,397,0,243,0
0,1,0,1,-30,0,23,0,13
0,1,1,1,0,25,22,9,14
0,1,2,1,30,23,0,11,0
1,0,0,1,0,0,353,0,200
1,0,1,1,500,338,447,163,249
1,0,2,1,1000,417,0,243,0
1,1,0,1,-30,0,23,0,13
1,1,1,1,0,25,22,9,14
1,1,2,1,30,23,0,11,0
2,0,0,1,0,0,353,0,200
2,0,1,1,500,338,447,163,249
2,0,2,1,1000,397,0,243,0
2,1,0,1,-30,0,23,0,13
2,1,1,1,0,25,22,9,14
2,1,2,1,30,23,0,11,0
3,0,0,1,0,0,353,0,200
3,0,1,1,500,338,447,163,249
3,0,2,1,1000,417,0,243,0
3,1,0,1,-30,0,23,0,14
3,1,1,1,0,25,22,9,14
3,1,2,1,30,23,0,11,0
4,0,0,1,0,0,353,0,200
4,0,1,1,500,338,447,163,249
4,0,2,1,1000,350,0,248,0
4,1,0,1,-30,0,23,0,13
4,1,1,1,0,25,22,9,14
4,1,2,1,30,23,0,11,0
5,0,0,1,0,0,353,0,200
5,0,1,1,500,338,447,163,249
5,0,2,1,1000,350,0,243,0
5,1,0,1,-30,0,23,0,13
5,1,1,1,0,25,22,9,14
5,1,2,1,30,23,0,11,0
6,0,0,1,0,0,353,0,200
6,0,1,1,500,338,447,163,249
6,0,2,1,1000,350,0,248,0
6,1,0,1,-30,0,23,0,13
6,1,1,1,0,25,22,9,14
6,1,2,1,30,23,0,11,0
7,0,0,1,0,0,427,0,167
7,0,1,1,500,389,442,160,168
7,0,2,1,1000,364,0,170,0
7,1,0,1,-30,0,23,0,13
7,1,1,1,0,25,22,9,14
7,1,2,1,30,23,0,11,0
8,0,0,1,0,0,353,0,200
8,0,1,1,500,338,447,163,249
8,0,2,1,1000,350,0,243,0
8,1,0,1,-30,0,23,0,13
8,1,1,1,0,25,22,9,14
8,1,2,1,30,23,0,11,0
9,0,0,1,0,0,353,0,200
9,0,1,1,500,338,447,163,249
9,0,2,1,1000,350,0,243,0
9,1,0,1,-30,0,23,0,13
9,1,1,1,0,25,22,9,14
9,1,2,1,30,23,0,11,0
10,0,0,1,0,0,353,0,184
10,0,1,1,500,338,447,163,249
10,0,2,1,1000,350,0,243,0
10,1,0,1,-30,0,22,0,13
10,1,1,1,0,25,22,9,14
10,1,2,1,30,23,0,11,0
11,0,0,1,0,0,427,0,167
11,0,1,1,500,389,442,160,168
11,0,2,1,1000,364,0,170,0
11,1,0,1,-30,0,23,0,13
11,1,1,1,0,25,22,9,14
11,1,2,1,30,23,0,11,0
12,0,0,1,0,0,427,0,144
12,0,1,1,500,389,442,160,168
12,0,2,1,1000,364,0,170,0
12,1,0,1,-30,0,23,0,13
12,1,1,1,0,25,22,10,15
12,1,2,1,30,23,0,11,0
13,0,0,1,0,0,353,0,184
13,0,1,1,500,338,447,163,249
13,0,2,1,1000,350,0,243,0
13,1,0,1,-30,0,23,0,13
13,1,1,1,0,25,22,11,12
13,1,2,1,30,23,0,11,0
14,0,0,1,0,0,427,0,167
14,0,1,1,500,389,442,160,168
14,0,2,1,1000,364,0,170,0
14,1,0,1,-30,0,22,0,13
14,1,1,1,0,25,22,9,14
14,1,2,1,30,23,0,11,0
