Controller,Input,Set,Height,CentreX,Left Base,Right Base,Left Top,Right Top
25,0,0,1,0,0,430,0,184
25,0,1,1,500,441,371,216,236
25,0,2,1,1000,430,0,232,0
25,1,0,1,-30,0,25,0,12
25,1,1,1,0,21,21,12,13
25,1,2,1,30,23,0,10,0
26,0,0,1,0,0,419,0,222
26,0,1,1,500,365,385,200,200
26,0,2,1,1000,387,0,227,0
26,1,0,1,-30,0,24,0,9
26,1,1,1,0,21,21,12,14
26,1,2,1,30,24,0,12,0
27,0,0,1,0,0,407,0,184
27,0,1,1,500,408,425,126,185
27,0,2,1,1000,343,0,208,0
27,1,0,1,-30,0,24,0,9
27,1,1,1,0,21,21,12,14
27,1,2,1,30,24,0,12,0
28,0,0,1,0,0,412,0,156
28,0,1,1,500,365,359,188,234
28,0,2,1,1000,416,0,216,0
28,1,0,1,-30,0,23,0,12
28,1,1,1,0,25,22,10,12
28,1,2,1,30,26,0,10,0
29,0,0,1,0,0,361,0,151
29,0,1,1,500,421,470,198,273
29,0,2,1,1000,373,0,237,0
29,1,0,1,-30,0,24,0,9
29,1,1,1,0,21,21,12,14
29,1,2,1,30,24,0,13,0
30,0,0,1,0,0,412,0,156
30,0,1,1,500,365,359,223,269
30,0,2,1,1000,416,0,216,0
30,1,0,1,-30,0,24,0,9
30,1,1,1,0,25,23,10,12
30,1,2,1,30,24,0,11,0
31,0,0,1,0,0,419,0,227
31,0,1,1,500,365,385,200,200
31,0,2,1,1000,387,0,227,0
31,1,0,1,-30,0,24,0,9
31,1,1,1,0,21,21,12,14
31,1,2,1,30,24,0,12,0
32,0,0,1,0,0,412,0,156
32,0,1,1,500,365,359,188,234
32,0,2,1,1000,416,0,216,0
32,1,0,1,-30,0,21,0,9
32,1,1,1,0,27,21,10,12
32,1,2,1,30,25,0,12,0
33,0,0,1,0,0,386,0,207
33,0,1,1,500,432,417,225,198
33,0,2,1,1000,410,0,224,0
33,1,0,1,-30,0,25,0,9
33,1,1,1,0,21,25,13,14
33,1,2,1,30,24,0,14,0
34,0,0,1,0,0,412,0,156
34,0,1,1,500,365,359,188,234
34,0,2,1,1000,435,0,216,0
34,1,0,1,-30,0,24,0,9
34,1,1,1,0,25,23,10,12
34,1,2,1,30,26,0,11,0
35,0,0,1,0,0,419,0,222
35,0,1,1,500,365,385,200,200
35,0,2,1,1000,387,0,227,0
35,1,0,1,-30,0,24,0,9
35,1,1,1,0,21,21,12,14
35,1,2,1,30,24,0,12,0
36,0,0,1,0,0,407,0,184
36,0,1,1,500,389,406,126,185
36,0,2,1,1000,343,0,208,0
36,1,0,1,-30,0,24,0,9
36,1,1,1,0,21,21,12,14
36,1,2,1,30,24,0,12,0
37,0,0,1,0,0,430,0,144
37,0,1,1,500,441,371,216,236
37,0,2,1,1000,430,0,232,0
37,1,0,1,-30,0,24,0,9
37,1,1,1,0,21,21,12,14
37,1,2,1,30,24,0,12,0
38,0,0,1,0,0,419,0,222
38,0,1,1,500,365,385,200,200
38,0,2,1,1000,387,0,227,0
38,1,0,1,-30,0,26,0,9
38,1,1,1,0,21,21,12,14
