Controller,Input,Set,Height,CentreX,Left Base,Right Base,Left Top,Right Top
0,0,0,1,0,0,377,0,233
0,0,1,1,500,449,439,126,198
0,0,2,1,1000,431,0,199,0
0,1,0,1,-30,0,25,0,9
0,1,1,1,0,22,24,13,11
0,1,2,1,30,23,0,9,0
1,0,0,1,0,0,377,0,233
1,0,1,1,500,449,439,126,198
1,0,2,1,1000,431,0,199,0
1,1,0,1,-30,0,25,0,9
1,1,1,1,0,22,24,13,11
1,1,2,1,30,23,0,9,0
2,0,0,1,0,0,377,0,233
2,0,1,1,500,441,447,154,226
2,0,2,1,1000,431,0,189,0
2,1,0,1,-30,0,25,0,9
2,1,1,1,0,22,24,13,11
2,1,2,1,30,23,0,9,0
3,0,0,1,0,0,377,0,233
3,0,1,1,500,441,447,154,226
3,0,2,1,1000,431,0,189,0
3,1,0,1,-30,0,23,0,9
3,1,1,1,0,22,24,13,11
3,1,2,1,30,23,0,9,0
4,0,0,1,0,0,409,0,239
4,0,1,1,500,395,371,232,227
4,0,2,1,1000,409,0,186,0
4,1,0,1,-30,0,25,0,9
4,1,1,1,0,22,24,13,11
4,1,2,1,30,23,0,9,0
5,0,0,1,0,0,409,0,239
5,0,1,1,500,395,371,232,227
5,0,2,1,1000,409,0,186,0
5,1,0,1,-30,0,24,0,9
5,1,1,1,0,26,22,14,12
5,1,2,1,30,26,0,13,0
6,0,0,1,0,0,409,0,239
6,0,1,1,500,395,371,232,227
6,0,2,1,1000,409,0,186,0
6,1,0,1,-30,0,25,0,9
6,1,1,1,0,22,24,13,11
6,1,2,1,30,23,0,9,0
7,0,0,1,0,0,377,0,233
7,0,1,1,500,449,439,126,198
7,0,2,1,1000,431,0,199,0
7,1,0,1,-30,0,25,0,9
7,1,1,1,0,22,24,13,11
7,1,2,1,30,23,0,9,0
8,0,0,1,0,0,364,0,239
8,0,1,1,500,395,371,232,227
8,0,2,1,1000,409,0,186,0
8,1,0,1,-30,0,24,0,9
8,1,1,1,0,26,22,14,12
8,1,2,1,30,26,0,13,0
9,0,0,1,0,0,377,0,233
9,0,1,1,500,441,447,154,226
9,0,2,1,1000,431,0,189,0
9,1,0,1,-30,0,25,0,9
9,1,1,1,0,20,22,13,11
9,1,2,1,30,23,0,9,0
10,0,0,1,0,0,387,0,196
10,0,1,1,500,414,435,175,180
10,0,2,1,1000,358,0,246,0
10,1,0,1,-30,0,24,0,9
10,1,1,1,0,26,22,14,12
10,1,2,1,30,26,0,13,0
11,0,0,1,0,0,377,0,233
11,0,1,1,500,441,447,154,226
11,0,2,1,1000,431,0,189,0
11,1,0,1,-30,0,24,0,10
11,1,1,1,0,23,26,14,14
11,1,2,1,30,23,0,11,0
12,0,0,1,0,0,451,0,207
12,0,1,1,500,364,421,249,217
12,0,2,1,1000,373,0,206,0
12,1,0,1,-30,0,22,0,13
12,1,1,1,0,19,23,9,13
12,1,2,1,30,25,0,12,0
13,0,0,1,0,0,451,0,207
13,0,1,1,500,364,421,249,217
13,0,2,1,1000,373,0,206,0
13,1,0,1,-30,0,23,0,9
13,1,1,1,0,22,24,13,11
13,1,2,1,30,23,0,9,0
14,0,0,1,0,0,416,0,233
14,0,1,1,500,449,439,154,226
14,0,2,1,1000,431,0,189,0
14,1,0,1,-30,0,23,0,9
14,1,1,1,0,22,24,13,11
14,1,2,1,30,23,0,9,0
15,0,0,1,0,0,377,0,233
15,0,1,1,500,449,439,154,226
15,0,2,1,1000,431,0,189,0
15,1,0,1,-30,0,23,0,9
15,1,1,1,0,22,24,13,11
15,1,2,1,30,23,0,9,0
16,0,0,1,0,0,387,0,196
16,0,1,1,500,414,435,175,180
16,0,2,1,1000,358,0,246,0
16,1,0,1,-30,0,24,0,9
16,1,1,1,0,26,22,14,12
16,1,2,1,30,26,0,13,0
17,0,0,1,0,0,376,0,233
17,0,1,1,500,414,360,183,156
17,0,2,1,1000,360,0,187,0
17,1,0,1,-30,0,23,0,9
17,1,1,1,0,22,24,13,11
17,1,2,1,30,23,0,9,0
18,0,0,1,0,0,377,0,233
18,0,1,1,500,441,447,115,187
18,0,2,1,1000,431,0,189,0
18,1,0,1,-30,0,24,0,9
18,1,1,1,0,26,22,14,12
18,1,2,1,30,26,0,13,0
19,0,0,1,0,0,409,0,239
19,0,1,1,500,395,371,232,227
19,0,2,1,1000,409,0,186,0
19,1,0,1,-30,0,24,0,10
19,1,1,1,0,23,26,14,14
19,1,2,1,30,23,0,11,0
20,0,0,1,0,0,387,0,196
20,0,1,1,500,414,435,175,180
20,0,2,1,1000,358,0,246,0
20,1,0,1,-30,0,24,0,10
20,1,1,1,0,23,26,14,14
20,1,2,1,30,23,0,11,0
21,0,0,1,0,0,376,0,233
21,0,1,1,500,414,360,183,156
21,0,2,1,1000,389,0,183,0
21,1,0,1,-30,0,22,0,12
21,1,1,1,0,19,23,9,13
21,1,2,1,30,25,0,12,0
22,0,0,1,0,0,410,0,184
22,0,1,1,500,351,371,172,229
22,0,2,1,1000,368,0,170,0
22,1,0,1,-30,0,23,0,9
22,1,1,1,0,22,24,13,11
22,1,2,1,30,23,0,9,0
23,0,0,1,0,0,377,0,233
23,0,1,1,500,449,439,186,194
23,0,2,1,1000,431,0,189,0
23,1,0,1,-30,0,23,0,9
23,1,1,1,0,22,24,13,11
23,1,2,1,30,23,0,9,0
24,0,0,1,0,0,376,0,233
24,0,1,1,500,414,360,183,156
24,0,2,1,1000,360,0,183,0
24,1,0,1,-30,0,23,0,9
24,1,1,1,0,22,24,13,11
24,1,2,1,30,23,0,9,0
25,0,0,1,0,0,377,0,233
25,0,1,1,500,441,447,154,226
25,0,2,1,1000,431,0,189,0
25,1,0,1,-30,0,23,0,9
25,1,1,1,0,22,24,13,11
25,1,2,1,30,23,0,9,0
26,0,0,1,0,0,409,0,239
26,0,1,1,500,395,371,232,227
26,0,2,1,1000,409,0,186,0
26,1,0,1,-30,0,22,0,12
26,1,1,1,0,19,23,9,13
26,1,2,1,30,25,0,12,0
27,0,0,1,0,0,377,0,233
27,0,1,1,500,449,439,154,226
27,0,2,1,1000,431,0,189,0
27,1,0,1,-30,0,23,0,7
27,1,1,1,0,22,24,13,11
27,1,2,1,30,23,0,9,0
28,0,0,1,0,0,376,0,233
28,0,1,1,500,414,360,183,156
28,0,2,1,1000,360,0,183,0
28,1,0,1,-30,0,23,0,9
28,1,1,1,0,22,24,13,11
28,1,2,1,30,23,0,9,0
29,0,0,1,0,0,364,0,239
29,0,1,1,500,395,371,232,227
29,0,2,1,1000,409,0,186,0
29,1,0,1,-30,0,24,0,12
29,1,1,1,0,23,26,14,14
29,1,2,1,30,22,0,11,0
30,0,0,1,0,0,371,0,230
30,0,1,1,500,449,439,154,226
30,0,2,1,1000,431,0,189,0
30,1,0,1,-30,0,23,0,9
30,1,1,1,0,22,24,13,11
30,1,2,1,30,23,0,9,0
31,0,0,1,0,0,377,0,233
31,0,1,1,500,441,447,154,226
31,0,2,1,1000,431,0,189,0
31,1,0,1,-30,0,22,0,9
31,1,1,1,0,22,24,13,11
31,1,2,1,30,23,0,9,0
32,0,0,1,0,0,376,0,233
32,0,1,1,500,414,360,183,156
32,0,2,1,1000,360,0,183,0
32,1,0,1,-30,0,25,0,9
32,1,1,1,0,22,24,13,11
32,1,2,1,30,23,0,9,0
33,0,0,1,0,0,364,0,239
33,0,1,1,500,395,371,232,227
33,0,2,1,1000,451,0,186,0
33,1,0,1,-30,0,23,0,9
33,1,1,1,0,22,24,13,11
33,1,2,1,30,23,0,9,0
34,0,0,1,0,0,376,0,233
34,0,1,1,500,414,360,183,156
34,0,2,1,1000,360,0,183,0
34,1,0,1,-30,0,23,0,9
34,1,1,1,0,22,24,13,11
34,1,2,1,30,23,0,9,0
35,0,0,1,0,0,377,0,233
35,0,1,1,500,449,439,154,226
35,0,2,1,1000,431,0,189,0
35,1,0,1,-30,0,23,0,9
35,1,1,1,0,22,24,13,11
35,1,2,1,30,23,0,9,0
36,0,0,1,0,0,409,0,239
36,0,1,1,500,395,371,232,227
36,0,2,1,1000,409,0,186,0
36,1,0,1,-30,0,23,0,9
36,1,1,1,0,22,24,13,11
36,1,2,1,30,23,0,9,0
37,0,0,1,0,0,376,0,233
37,0,1,1,500,414,360,183,156
37,0,2,1,1000,360,0,183,0
37,1,0,1,-30,0,23,0,9
37,1,1,1,0,22,24,13,11
37,1,2,1,30,23,0,9,0
38,0,0,1,0,0,386,0,233
38,0,1,1,500,441,447,154,226
38,0,2,1,1000,431,0,189,0
38,1,0,1,-30,0,25,0,9
38,1,1,1,0,22,24,13,11
38,1,2,1,30,23,0,7,0
39,0,0,1,0,0,365,0,161
39,0,1,1,500,367,420,181,164
39,0,2,1,1000,367,0,185,0
39,1,0,1,-30,0,24,0,13
39,1,1,1,0,25,21,9,13
39,1,2,1,30,26,0,11,0
40,0,0,1,0,0,377,0,233
40,0,1,1,500,449,439,192,270
40,0,2,1,1000,431,0,189,0
40,1,0,1,-30,0,25,0,9
40,1,1,1,0,22,24,13,11
40,1,2,1,30,23,0,9,0
41,0,0,1,0,0,364,0,239
41,0,1,1,500,395,371,232,227
41,0,2,1,1000,409,0,186,0
41,1,0,1,-30,0,24,0,9
41,1,1,1,0,26,22,16,10
41,1,2,1,30,26,0,13,0
42,0,0,1,0,0,409,0,239
42,0,1,1,500,395,371,232,227
42,0,2,1,1000,409,0,186,0
42,1,0,1,-30,0,23,0,9
42,1,1,1,0,22,24,13,11
42,1,2,1,30,23,0,8,0
43,0,0,1,0,0,377,0,233
43,0,1,1,500,449,439,154,226
43,0,2,1,1000,431,0,189,0
43,1,0,1,-30,0,23,0,9
43,1,1,1,0,23,25,13,11
43,1,2,1,30,23,0,9,0
44,0,0,1,0,0,364,0,239
44,0,1,1,500,364,402,232,227
44,0,2,1,1000,409,0,186,0
44,1,0,1,-30,0,23,0,9
44,1,1,1,0,22,24,13,11
44,1,2,1,30,23,0,9,0
45,0,0,1,0,0,409,0,239
45,0,1,1,500,395,371,232,227
45,0,2,1,1000,409,0,186,0
45,1,0,1,-30,0,23,0,9
45,1,1,1,0,22,24,12,10
45,1,2,1,30,23,0,9,0
46,0,0,1,0,0,387,0,196
46,0,1,1,500,414,435,175,180
46,0,2,1,1000,358,0,246,0
46,1,0,1,-30,0,23,0,9
46,1,1,1,0,22,24,13,11
46,1,2,1,30,23,0,9,0
47,0,0,1,0,0,377,0,233
47,0,1,1,500,441,447,154,226
47,0,2,1,1000,473,0,189,0
47,1,0,1,-30,0,23,0,9
47,1,1,1,0,22,24,13,11
47,1,2,1,30,23,0,9,0
48,0,0,1,0,0,376,0,233
48,0,1,1,500,414,360,225,198
48,0,2,1,1000,389,0,183,0
48,1,0,1,-30,0,23,0,9
48,1,1,1,0,22,24,13,11
48,1,2,1,30,23,0,9,0
49,0,0,1,0,0,413,0,161
49,0,1,1,500,367,420,181,164
49,0,2,1,1000,367,0,185,0
49,1,0,1,-30,0,23,0,9
49,1,1,1,0,22,24,13,11
49,1,2,1,30,23,0,9,0
50,0,0,1,0,0,387,0,196
50,0,1,1,500,414,435,175,180
50,0,2,1,1000,358,0,246,0
50,1,0,1,-30,0,23,0,9
50,1,1,1,0,22,24,13,11
50,1,2,1,30,23,0,7,0
51,0,0,1,0,0,377,0,233
51,0,1,1,500,449,439,154,226
51,0,2,1,1000,431,0,189,0
51,1,0,1,-30,0,25,0,9
51,1,1,1,0,22,24,13,11
51,1,2,1,30,23,0,9,0
52,0,0,1,0,0,377,0,233
52,0,1,1,500,441,447,154,226
52,0,2,1,1000,433,0,189,0
52,1,0,1,-30,0,23,0,9
52,1,1,1,0,22,24,13,11
