Controller,Score,Mutations
0,500,59
1,500,11
2,500,3
3,500,0
4,500,4
5,500,3
6,500,15
7,500,7
8,500,1
9,500,16
10,500,1
11,500,8
12,500,4
13,500,13
14,500,3
15,500,11
16,500,10
17,500,8
18,500,4
19,500,6
20,500,3
21,500,2
22,500,1
23,500,5
24,500,0
25,500,1
26,500,1
27,500,7
28,500,6
29,500,2
30,500,12
31,500,6
32,500,8
33,500,9
34,500,9
35,500,10
36,500,7
37,500,3
38,500,9
39,500,5
40,500,11
41,500,15
42,500,9
43,500,11
44,500,7
45,500,10
46,500,0
47,500,7
48,500,14
49,500,5
50,500,4
51,500,12
52,500,23
53,500,22
54,500,24
55,500,22
56,500,30
57,500,28
58,500,27
59,500,36
60,500,32
61,500,32
62,500,36
63,500,40
64,500,41
65,500,34
66,500,34
67,500,35
68,500,31
69,500,45
70,500,32
71,500,26
72,500,26
73,500,37
74,500,36
75,500,39
76,500,36
77,500,41
78,500,29
79,500,38
80,500,31
81,500,36
82,500,32
83,500,32
84,500,38
85,500,34
86,500,31
87,500,36
88,500,39
89,500,37
90,500,30
91,500,36
92,500,26
93,500,40
94,500,44
95,500,37
96,500,38
97,500,46
98,500,32
99,500,35
