Controller,Score,Mutations
0,398,87
1,394,17
2,358,15
3,354,27
4,385,3
5,397,7
6,347,17
7,384,6
8,394,5
9,346,19
10,401,4
11,372,25
12,398,10
13,382,2
14,384,7
15,397,10
16,381,7
17,385,6
18,377,6
19,384,13
20,376,14
21,386,3
22,374,10
23,119,20
24,385,18
25,377,13
26,395,3
27,400,5
28,118,16
29,382,9
30,376,5
31,384,1
32,357,20
33,391,5
34,396,10
35,380,11
36,394,6
37,382,8
38,386,11
39,366,33
40,336,5
41,391,1
42,377,6
43,384,11
44,408,9
45,399,13
46,346,18
47,394,5
48,380,4
49,380,11
50,379,6
51,348,14
52,384,10
53,382,5
54,371,15
55,392,8
56,390,13
57,383,4
58,378,19
59,406,16
60,405,24
61,384,19
62,377,30
63,397,22
64,395,36
65,379,31
66,388,39
67,380,31
68,364,28
69,389,32
70,408,23
71,384,46
72,398,32
73,382,36
74,387,33
75,379,42
76,399,38
77,402,40
78,393,38
79,384,30
80,119,38
81,394,35
82,403,36
83,381,34
84,371,31
85,399,35
86,399,36
87,378,39
88,390,35
89,383,40
90,374,41
91,370,32
92,358,37
93,377,34
94,380,42
95,377,40
96,394,42
97,402,40
98,387,29
99,390,32
