Controller,Rule,Input Variable 1,Input Set 1,Modifier,Input Variable 2,Input Set 2,Output Value
0,0,0,0,AND,1,0,6.6567
0,1,0,0,AND,1,1,3.37596
0,2,0,0,AND,1,2,7.54723
0,3,0,1,AND,1,0,2.14911
0,4,0,1,AND,1,1,1.22684
0,5,0,1,AND,1,2,9.53764
0,6,0,2,AND,1,0,3.26731
0,7,0,2,AND,1,1,1.30375
0,8,0,2,AND,1,2,3.47972
1,0,0,0,AND,1,0,6.6567
1,1,0,0,AND,1,1,3.37596
1,2,0,0,AND,1,2,7.54723
1,3,0,1,AND,1,0,2.14911
1,4,0,1,AND,1,1,1.22684
1,5,0,1,AND,1,2,9.53764
1,6,0,2,AND,1,0,4.00952
1,7,0,2,AND,1,1,1.72887
1,8,0,2,AND,1,2,6.31245
2,0,0,0,AND,1,0,6.6567
2,1,0,0,AND,1,1,3.37596
2,2,0,0,AND,1,2,7.54723
2,3,0,1,AND,1,0,2.14911
2,4,0,1,AND,1,1,1.22684
2,5,0,1,AND,1,2,9.53764
2,6,0,2,AND,1,0,3.26731
2,7,0,2,AND,1,1,1.30375
2,8,0,2,AND,1,2,2.45003
3,0,0,0,AND,1,0,6.6567
3,1,0,0,AND,1,1,3.37596
3,2,0,0,AND,1,2,7.54723
3,3,0,1,AND,1,0,2.14911
3,4,0,1,AND,1,1,1.22684
3,5,0,1,AND,1,2,9.53764
3,6,0,2,AND,1,0,2.49062
3,7,0,2,AND,1,1,0.877712
3,8,0,2,AND,1,2,1.08585
4,0,0,0,AND,1,0,6.6567
4,1,0,0,AND,1,1,3.37596
4,2,0,0,AND,1,2,7.54723
4,3,0,1,AND,1,0,6.22913
4,4,0,1,AND,1,1,0.953398
4,5,0,1,AND,1,2,4.56221
4,6,0,2,AND,1,0,4.00952
4,7,0,2,AND,1,1,1.72887
4,8,0,2,AND,1,2,3.30546
5,0,0,0,AND,1,0,6.6567
5,1,0,0,AND,1,1,3.37596
5,2,0,0,AND,1,2,7.54723
5,3,0,1,AND,1,0,6.22913
5,4,0,1,AND,1,1,0.953398
5,5,0,1,AND,1,2,4.56221
5,6,0,2,AND,1,0,2.61513
5,7,0,2,AND,1,1,1.72887
5,8,0,2,AND,1,2,0.323801
6,0,0,0,AND,1,0,6.6567
6,1,0,0,AND,1,1,3.37596
6,2,0,0,AND,1,2,7.54723
6,3,0,1,AND,1,0,6.22913
6,4,0,1,AND,1,1,0.953398
6,5,0,1,AND,1,2,4.56221
6,6,0,2,AND,1,0,4.00952
6,7,0,2,AND,1,1,1.72887
6,8,0,2,AND,1,2,9.41221
7,0,0,0,AND,1,0,6.6567
7,1,0,0,AND,1,1,3.37596
7,2,0,0,AND,1,2,7.54723
7,3,0,1,AND,1,0,2.14911
7,4,0,1,AND,1,1,1.22684
7,5,0,1,AND,1,2,9.53764
7,6,0,2,AND,1,0,3.26731
7,7,0,2,AND,1,1,1.30375
7,8,0,2,AND,1,2,7.72149
8,0,0,0,AND,1,0,6.6567
8,1,0,0,AND,1,1,3.37596
8,2,0,0,AND,1,2,7.54723
8,3,0,1,AND,1,0,6.22913
8,4,0,1,AND,1,1,0.953398
8,5,0,1,AND,1,2,0.399792
8,6,0,2,AND,1,0,3.26731
8,7,0,2,AND,1,1,1.30375
8,8,0,2,AND,1,2,5.64074
9,0,0,0,AND,1,0,6.6567
9,1,0,0,AND,1,1,3.37596
9,2,0,0,AND,1,2,7.54723
9,3,0,1,AND,1,0,2.14911
9,4,0,1,AND,1,1,1.22684
9,5,0,1,AND,1,2,9.53764
9,6,0,2,AND,1,0,4.00952
9,7,0,2,AND,1,1,1.72887
9,8,0,2,AND,1,2,4.77432
10,0,0,0,AND,1,0,6.6567
10,1,0,0,AND,1,1,3.37596
10,2,0,0,AND,1,2,7.54723
10,3,0,1,AND,1,0,6.22913
10,4,0,1,AND,1,1,0.953398
10,5,0,1,AND,1,2,0.399792
10,6,0,2,AND,1,0,3.26731
10,7,0,2,AND,1,1,1.30375
10,8,0,2,AND,1,2,2.37129
11,0,0,0,AND,1,0,6.6567
11,1,0,0,AND,1,1,3.37596
11,2,0,0,AND,1,2,7.54723
11,3,0,1,AND,1,0,2.14911
11,4,0,1,AND,1,1,0.953398
11,5,0,1,AND,1,2,4.56221
11,6,0,2,AND,1,0,3.26731
11,7,0,2,AND,1,1,1.72887
11,8,0,2,AND,1,2,5.3032
12,0,0,0,AND,1,0,6.6567
12,1,0,0,AND,1,1,3.37596
12,2,0,0,AND,1,2,7.54723
12,3,0,1,AND,1,0,6.22913
12,4,0,1,AND,1,1,0.953398
12,5,0,1,AND,1,2,4.56221
12,6,0,2,AND,1,0,2.61513
12,7,0,2,AND,1,1,1.21982
12,8,0,2,AND,1,2,3.73791
13,0,0,0,AND,1,0,6.6567
13,1,0,0,AND,1,1,3.37596
13,2,0,0,AND,1,2,7.54723
13,3,0,1,AND,1,0,6.22913
13,4,0,1,AND,1,1,0.953398
13,5,0,1,AND,1,2,4.56221
13,6,0,2,AND,1,0,2.61513
13,7,0,2,AND,1,1,1.21982
13,8,0,2,AND,1,2,8.74538
14,0,0,0,AND,1,0,6.6567
14,1,0,0,AND,1,1,3.37596
14,2,0,0,AND,1,2,7.54723
14,3,0,1,AND,1,0,2.14911
14,4,0,1,AND,1,1,1.22684
14,5,0,1,AND,1,2,9.53764
14,6,0,2,AND,1,0,4.00952
14,7,0,2,AND,1,1,0.958586
14,8,0,2,AND,1,2,0.421155
15,0,0,0,AND,1,0,6.6567
15,1,0,0,AND,1,1,3.37596
15,2,0,0,AND,1,2,7.54723
15,3,0,1,AND,1,0,2.14911
15,4,0,1,AND,1,1,1.22684
15,5,0,1,AND,1,2,9.53764
15,6,0,2,AND,1,0,2.49062
15,7,0,2,AND,1,1,0.877712
15,8,0,2,AND,1,2,5.02823
16,0,0,0,AND,1,0,6.6567
16,1,0,0,AND,1,1,3.37596
16,2,0,0,AND,1,2,7.54723
16,3,0,1,AND,1,0,6.22913
16,4,0,1,AND,1,1,0.953398
16,5,0,1,AND,1,2,0.399792
16,6,0,2,AND,1,0,4.00952
16,7,0,2,AND,1,1,1.72887
16,8,0,2,AND,1,2,2.30689
17,0,0,0,AND,1,0,6.6567
17,1,0,0,AND,1,1,3.37596
17,2,0,0,AND,1,2,7.54723
17,3,0,1,AND,1,0,2.14911
17,4,0,1,AND,1,1,1.22684
17,5,0,1,AND,1,2,9.53764
17,6,0,2,AND,1,0,4.00952
17,7,0,2,AND,1,1,0.877712
17,8,0,2,AND,1,2,8.83969
18,0,0,0,AND,1,0,6.6567
18,1,0,0,AND,1,1,3.37596
18,2,0,0,AND,1,2,7.54723
18,3,0,1,AND,1,0,6.22913
18,4,0,1,AND,1,1,0.953398
18,5,0,1,AND,1,2,4.56221
18,6,0,2,AND,1,0,2.61513
18,7,0,2,AND,1,1,1.72887
18,8,0,2,AND,1,2,1.3184
19,0,0,0,AND,1,0,6.6567
19,1,0,0,AND,1,1,3.37596
19,2,0,0,AND,1,2,7.54723
19,3,0,1,AND,1,0,6.22913
19,4,0,1,AND,1,1,0.953398
19,5,0,1,AND,1,2,4.56221
19,6,0,2,AND,1,0,3.26731
19,7,0,2,AND,1,1,1.72887
19,8,0,2,AND,1,2,6.10218
20,0,0,0,AND,1,0,6.6567
20,1,0,0,AND,1,1,3.37596
20,2,0,0,AND,1,2,7.54723
20,3,0,1,AND,1,0,2.14911
20,4,0,1,AND,1,1,0.953398
20,5,0,1,AND,1,2,4.56221
20,6,0,2,AND,1,0,3.26731
20,7,0,2,AND,1,1,1.30375
20,8,0,2,AND,1,2,9.73937
21,0,0,0,AND,1,0,6.6567
21,1,0,0,AND,1,1,3.37596
21,2,0,0,AND,1,2,7.54723
21,3,0,1,AND,1,0,2.14911
21,4,0,1,AND,1,1,0.953398
21,5,0,1,AND,1,2,4.56221
21,6,0,2,AND,1,0,1.61718
21,7,0,2,AND,1,1,1.21982
21,8,0,2,AND,1,2,0.46968
22,0,0,0,AND,1,0,6.6567
22,1,0,0,AND,1,1,3.37596
22,2,0,0,AND,1,2,7.54723
22,3,0,1,AND,1,0,2.14911
22,4,0,1,AND,1,1,1.22684
22,5,0,1,AND,1,2,8.77712
22,6,0,2,AND,1,0,4.00952
22,7,0,2,AND,1,1,0.958586
22,8,0,2,AND,1,2,4.33424
23,0,0,0,AND,1,0,6.6567
23,1,0,0,AND,1,1,3.37596
23,2,0,0,AND,1,2,7.54723
23,3,0,1,AND,1,0,2.14911
23,4,0,1,AND,1,1,1.22684
23,5,0,1,AND,1,2,9.53764
23,6,0,2,AND,1,0,2.49062
23,7,0,2,AND,1,1,0.877712
23,8,0,2,AND,1,2,2.65419
24,0,0,0,AND,1,0,6.6567
24,1,0,0,AND,1,1,3.37596
24,2,0,0,AND,1,2,7.54723
24,3,0,1,AND,1,0,2.14911
24,4,0,1,AND,1,1,1.22684
24,5,0,1,AND,1,2,9.53764
24,6,0,2,AND,1,0,8.446
24,7,0,2,AND,1,1,0.44557
24,8,0,2,AND,1,2,1.58635
25,0,0,0,AND,1,0,6.6567
25,1,0,0,AND,1,1,3.37596
25,2,0,0,AND,1,2,7.54723
25,3,0,1,AND,1,0,2.14911
25,4,0,1,AND,1,1,1.22684
25,5,0,1,AND,1,2,9.53764
25,6,0,2,AND,1,0,4.00952
25,7,0,2,AND,1,1,0.958586
25,8,0,2,AND,1,2,0.397656
26,0,0,0,AND,1,0,6.6567
26,1,0,0,AND,1,1,3.37596
26,2,0,0,AND,1,2,7.54723
26,3,0,1,AND,1,0,6.22913
26,4,0,1,AND,1,1,0.953398
26,5,0,1,AND,1,2,4.56221
26,6,0,2,AND,1,0,2.61513
26,7,0,2,AND,1,1,1.21982
26,8,0,2,AND,1,2,4.35713
27,0,0,0,AND,1,0,6.6567
27,1,0,0,AND,1,1,3.37596
27,2,0,0,AND,1,2,7.54723
27,3,0,1,AND,1,0,2.14911
27,4,0,1,AND,1,1,1.22684
27,5,0,1,AND,1,2,8.77712
27,6,0,2,AND,1,0,1.61718
27,7,0,2,AND,1,1,1.21982
27,8,0,2,AND,1,2,1.901
28,0,0,0,AND,1,0,6.6567
28,1,0,0,AND,1,1,3.37596
28,2,0,0,AND,1,2,7.54723
28,3,0,1,AND,1,0,2.14911
28,4,0,1,AND,1,1,0.953398
28,5,0,1,AND,1,2,4.56221
28,6,0,2,AND,1,0,2.61513
28,7,0,2,AND,1,1,1.72887
28,8,0,2,AND,1,2,5.28611
29,0,0,0,AND,1,0,6.6567
29,1,0,0,AND,1,1,3.37596
29,2,0,0,AND,1,2,7.54723
29,3,0,1,AND,1,0,2.14911
29,4,0,1,AND,1,1,1.22684
29,5,0,1,AND,1,2,8.77712
29,6,0,2,AND,1,0,1.61718
29,7,0,2,AND,1,1,1.21982
29,8,0,2,AND,1,2,0.522477
30,0,0,0,AND,1,0,6.6567
30,1,0,0,AND,1,1,3.37596
30,2,0,0,AND,1,2,7.54723
30,3,0,1,AND,1,0,2.14911
30,4,0,1,AND,1,1,1.22684
30,5,0,1,AND,1,2,9.53764
30,6,0,2,AND,1,0,2.49062
30,7,0,2,AND,1,1,0.877712
30,8,0,2,AND,1,2,7.24296
31,0,0,0,AND,1,0,6.6567
31,1,0,0,AND,1,1,3.37596
31,2,0,0,AND,1,2,7.54723
31,3,0,1,AND,1,0,2.14911
31,4,0,1,AND,1,1,1.22684
31,5,0,1,AND,1,2,9.53764
31,6,0,2,AND,1,0,4.00952
31,7,0,2,AND,1,1,1.21982
31,8,0,2,AND,1,2,3.55937
32,0,0,0,AND,1,0,6.6567
32,1,0,0,AND,1,1,3.37596
32,2,0,0,AND,1,2,7.54723
32,3,0,1,AND,1,0,2.14911
32,4,0,1,AND,1,1,1.22684
