Controller,Rule,Input Variable 1,Input Set 1,Modifier,Input Variable 2,Input Set 2,Output Value
15,2,0,0,AND,1,2,8.0398
15,3,0,1,AND,1,0,6.50533
15,4,0,1,AND,1,1,2.53609
15,5,0,1,AND,1,2,3.3607
15,6,0,2,AND,1,0,9.05362
15,7,0,2,AND,1,1,1.54118
15,8,0,2,AND,1,2,3.38206
16,0,0,0,AND,1,0,6.14002
16,1,0,0,AND,1,1,1.91137
16,2,0,0,AND,1,2,8.0398
16,3,0,1,AND,1,0,6.50533
16,4,0,1,AND,1,1,2.53609
16,5,0,1,AND,1,2,1.42308
16,6,0,2,AND,1,0,0.432752
16,7,0,2,AND,1,1,1.00314
16,8,0,2,AND,1,2,1.442
17,0,0,0,AND,1,0,6.14002
17,1,0,0,AND,1,1,1.91137
17,2,0,0,AND,1,2,8.0398
17,3,0,1,AND,1,0,6.50533
17,4,0,1,AND,1,1,2.53609
17,5,0,1,AND,1,2,1.42308
17,6,0,2,AND,1,0,0.432752
17,7,0,2,AND,1,1,1.00314
17,8,0,2,AND,1,2,9.12778
18,0,0,0,AND,1,0,6.14002
18,1,0,0,AND,1,1,1.91137
18,2,0,0,AND,1,2,8.0398
18,3,0,1,AND,1,0,6.50533
18,4,0,1,AND,1,1,2.53609
18,5,0,1,AND,1,2,1.42308
18,6,0,2,AND,1,0,1.35136
18,7,0,2,AND,1,1,1.66875
18,8,0,2,AND,1,2,4.44533
19,0,0,0,AND,1,0,6.14002
19,1,0,0,AND,1,1,1.91137
19,2,0,0,AND,1,2,8.0398
19,3,0,1,AND,1,0,6.50533
19,4,0,1,AND,1,1,2.53609
19,5,0,1,AND,1,2,1.42308
19,6,0,2,AND,1,0,0.432752
19,7,0,2,AND,1,1,1.00314
19,8,0,2,AND,1,2,5.52599
20,0,0,0,AND,1,0,6.14002
20,1,0,0,AND,1,1,1.91137
20,2,0,0,AND,1,2,8.0398
20,3,0,1,AND,1,0,6.50533
20,4,0,1,AND,1,1,2.53609
20,5,0,1,AND,1,2,1.42308
20,6,0,2,AND,1,0,0.432752
20,7,0,2,AND,1,1,1.54118
20,8,0,2,AND,1,2,4.3437
21,0,0,0,AND,1,0,8.40175
21,1,0,0,AND,1,1,2.87301
21,2,0,0,AND,1,2,9.03867
21,3,0,1,AND,1,0,6.60634
21,4,0,1,AND,1,1,2.53609
21,5,0,1,AND,1,2,1.42308
21,6,0,2,AND,1,0,0.432752
21,7,0,2,AND,1,1,0.280465
21,8,0,2,AND,1,2,0.417798
22,0,0,0,AND,1,0,6.14002
22,1,0,0,AND,1,1,1.91137
22,2,0,0,AND,1,2,8.0398
22,3,0,1,AND,1,0,6.50533
22,4,0,1,AND,1,1,2.53609
22,5,0,1,AND,1,2,1.42308
22,6,0,2,AND,1,0,0.432752
22,7,0,2,AND,1,1,1.00314
22,8,0,2,AND,1,2,1.82501
23,0,0,0,AND,1,0,0.783105
23,1,0,0,AND,1,1,2.81503
23,2,0,0,AND,1,2,7.1572
23,3,0,1,AND,1,0,4.30769
23,4,0,1,AND,1,1,3.32865
23,5,0,1,AND,1,2,3.3607
23,6,0,2,AND,1,0,4.10779
23,7,0,2,AND,1,1,1.29521
23,8,0,2,AND,1,2,2.44697
24,0,0,0,AND,1,0,6.14002
24,1,0,0,AND,1,1,1.91137
24,2,0,0,AND,1,2,8.0398
24,3,0,1,AND,1,0,6.50533
24,4,0,1,AND,1,1,2.53609
24,5,0,1,AND,1,2,1.42308
24,6,0,2,AND,1,0,0.432752
24,7,0,2,AND,1,1,1.54118
24,8,0,2,AND,1,2,4.23231
25,0,0,0,AND,1,0,1.09409
25,1,0,0,AND,1,1,5.54277
25,2,0,0,AND,1,2,7.82739
25,3,0,1,AND,1,0,9.50804
25,4,0,1,AND,1,1,0.612812
25,5,0,1,AND,1,2,2.80801
25,6,0,2,AND,1,0,4.10779
25,7,0,2,AND,1,1,1.29521
25,8,0,2,AND,1,2,2.65084
26,0,0,0,AND,1,0,6.14002
26,1,0,0,AND,1,1,1.91137
26,2,0,0,AND,1,2,8.0398
26,3,0,1,AND,1,0,6.50533
26,4,0,1,AND,1,1,2.53609
26,5,0,1,AND,1,2,1.42308
26,6,0,2,AND,1,0,0.432752
26,7,0,2,AND,1,1,0.280465
26,8,0,2,AND,1,2,3.68908
27,0,0,0,AND,1,0,8.40175
27,1,0,0,AND,1,1,2.87301
27,2,0,0,AND,1,2,9.03867
27,3,0,1,AND,1,0,9.19217
27,4,0,1,AND,1,1,3.61034
27,5,0,1,AND,1,2,3.3607
27,6,0,2,AND,1,0,9.05362
27,7,0,2,AND,1,1,0.280465
27,8,0,2,AND,1,2,2.95022
28,0,0,0,AND,1,0,6.14002
28,1,0,0,AND,1,1,1.91137
28,2,0,0,AND,1,2,8.0398
28,3,0,1,AND,1,0,4.65041
28,4,0,1,AND,1,1,1.35807
28,5,0,1,AND,1,2,3.53435
28,6,0,2,AND,1,0,1.62297
28,7,0,2,AND,1,1,1.54118
28,8,0,2,AND,1,2,2.90231
29,0,0,0,AND,1,0,6.14002
29,1,0,0,AND,1,1,1.91137
29,2,0,0,AND,1,2,8.0398
29,3,0,1,AND,1,0,6.50533
29,4,0,1,AND,1,1,2.53609
29,5,0,1,AND,1,2,1.42308
29,6,0,2,AND,1,0,6.03504
29,7,0,2,AND,1,1,1.26011
29,8,0,2,AND,1,2,4.34339
30,0,0,0,AND,1,0,8.40175
30,1,0,0,AND,1,1,2.87301
30,2,0,0,AND,1,2,9.03867
30,3,0,1,AND,1,0,6.60634
30,4,0,1,AND,1,1,2.52876
30,5,0,1,AND,1,2,2.80801
30,6,0,2,AND,1,0,4.10779
30,7,0,2,AND,1,1,1.29521
30,8,0,2,AND,1,2,3.95184
31,0,0,0,AND,1,0,6.14002
31,1,0,0,AND,1,1,1.91137
31,2,0,0,AND,1,2,8.0398
31,3,0,1,AND,1,0,6.50533
31,4,0,1,AND,1,1,2.53609
31,5,0,1,AND,1,2,1.42308
31,6,0,2,AND,1,0,0.432752
31,7,0,2,AND,1,1,0.280465
31,8,0,2,AND,1,2,2.6194
32,0,0,0,AND,1,0,6.14002
32,1,0,0,AND,1,1,1.91137
32,2,0,0,AND,1,2,8.0398
32,3,0,1,AND,1,0,4.65041
32,4,0,1,AND,1,1,1.35807
32,5,0,1,AND,1,2,3.53435
32,6,0,2,AND,1,0,1.62297
32,7,0,2,AND,1,1,1.54118
32,8,0,2,AND,1,2,0.382092
33,0,0,0,AND,1,0,8.40175
33,1,0,0,AND,1,1,2.87301
33,2,0,0,AND,1,2,9.03867
33,3,0,1,AND,1,0,6.60634
33,4,0,1,AND,1,1,2.52876
33,5,0,1,AND,1,2,1.42308
33,6,0,2,AND,1,0,0.432752
33,7,0,2,AND,1,1,1.54118
33,8,0,2,AND,1,2,4.40535
34,0,0,0,AND,1,0,6.14002
34,1,0,0,AND,1,1,1.91137
34,2,0,0,AND,1,2,8.0398
34,3,0,1,AND,1,0,6.50533
34,4,0,1,AND,1,1,2.53609
34,5,0,1,AND,1,2,1.42308
34,6,0,2,AND,1,0,0.432752
34,7,0,2,AND,1,1,0.280465
34,8,0,2,AND,1,2,7.90643
35,0,0,0,AND,1,0,6.14002
35,1,0,0,AND,1,1,1.91137
35,2,0,0,AND,1,2,8.0398
35,3,0,1,AND,1,0,6.50533
35,4,0,1,AND,1,1,2.53609
35,5,0,1,AND,1,2,1.42308
35,6,0,2,AND,1,0,7.98425
35,7,0,2,AND,1,1,0.777612
35,8,0,2,AND,1,2,1.35594
36,0,0,0,AND,1,0,6.14002
36,1,0,0,AND,1,1,1.91137
36,2,0,0,AND,1,2,8.0398
36,3,0,1,AND,1,0,6.50533
36,4,0,1,AND,1,1,2.53609
36,5,0,1,AND,1,2,1.42308
36,6,0,2,AND,1,0,0.432752
36,7,0,2,AND,1,1,1.00314
36,8,0,2,AND,1,2,4.03577
37,0,0,0,AND,1,0,8.40175
37,1,0,0,AND,1,1,2.87301
37,2,0,0,AND,1,2,9.03867
37,3,0,1,AND,1,0,9.19217
37,4,0,1,AND,1,1,3.61034
37,5,0,1,AND,1,2,1.6126
37,6,0,2,AND,1,0,9.80377
37,7,0,2,AND,1,1,0.711386
37,8,0,2,AND,1,2,5.30198
38,0,0,0,AND,1,0,6.14002
38,1,0,0,AND,1,1,1.91137
38,2,0,0,AND,1,2,8.0398
38,3,0,1,AND,1,0,6.50533
38,4,0,1,AND,1,1,2.53609
38,5,0,1,AND,1,2,1.42308
38,6,0,2,AND,1,0,3.0549
38,7,0,2,AND,1,1,1.83477
38,8,0,2,AND,1,2,1.94983
39,0,0,0,AND,1,0,8.40175
39,1,0,0,AND,1,1,2.87301
39,2,0,0,AND,1,2,9.03867
39,3,0,1,AND,1,0,6.60634
39,4,0,1,AND,1,1,1.35807
39,5,0,1,AND,1,2,3.53435
39,6,0,2,AND,1,0,1.62297
39,7,0,2,AND,1,1,1.26011
39,8,0,2,AND,1,2,2.16712
40,0,0,0,AND,1,0,8.40175
40,1,0,0,AND,1,1,2.87301
40,2,0,0,AND,1,2,9.03867
40,3,0,1,AND,1,0,6.50533
40,4,0,1,AND,1,1,2.53609
40,5,0,1,AND,1,2,1.42308
40,6,0,2,AND,1,0,0.432752
40,7,0,2,AND,1,1,0.280465
40,8,0,2,AND,1,2,8.91354
41,0,0,0,AND,1,0,6.14002
41,1,0,0,AND,1,1,1.91137
41,2,0,0,AND,1,2,8.0398
41,3,0,1,AND,1,0,6.50533
41,4,0,1,AND,1,1,2.53609
41,5,0,1,AND,1,2,1.42308
41,6,0,2,AND,1,0,0.432752
41,7,0,2,AND,1,1,1.09439
41,8,0,2,AND,1,2,7.46818
42,0,0,0,AND,1,0,8.40175
42,1,0,0,AND,1,1,2.87301
42,2,0,0,AND,1,2,9.03867
42,3,0,1,AND,1,0,9.19217
42,4,0,1,AND,1,1,3.61034
