Controller,Rule,Input Variable 1,Input Set 1,Modifier,Input Variable 2,Input Set 2,Output Value
0,0,0,0,AND,1,0,3.82397
0,1,0,0,AND,1,1,2.85073
0,2,0,0,AND,1,2,8.15668
0,3,0,1,AND,1,0,9.953
0,4,0,1,AND,1,1,3.72692
0,5,0,1,AND,1,2,0.0146489
0,6,0,2,AND,1,0,9.28953
0,7,0,2,AND,1,1,0.246284
0,8,0,2,AND,1,2,0.0335704
1,0,0,0,AND,1,0,3.82397
1,1,0,0,AND,1,1,2.85073
1,2,0,0,AND,1,2,8.15668
1,3,0,1,AND,1,0,9.953
1,4,0,1,AND,1,1,3.72692
1,5,0,1,AND,1,2,0.0146489
1,6,0,2,AND,1,0,6.11011
1,7,0,2,AND,1,1,0.79165
1,8,0,2,AND,1,2,1.55339
2,0,0,0,AND,1,0,3.82397
2,1,0,0,AND,1,1,2.85073
2,2,0,0,AND,1,2,8.15668
2,3,0,1,AND,1,0,9.953
2,4,0,1,AND,1,1,3.72692
2,5,0,1,AND,1,2,0.0146489
2,6,0,2,AND,1,0,9.28953
2,7,0,2,AND,1,1,0.246284
2,8,0,2,AND,1,2,7.58385
3,0,0,0,AND,1,0,3.82397
3,1,0,0,AND,1,1,2.85073
3,2,0,0,AND,1,2,8.15668
3,3,0,1,AND,1,0,9.953
3,4,0,1,AND,1,1,3.72692
3,5,0,1,AND,1,2,0.0146489
3,6,0,2,AND,1,0,9.28953
3,7,0,2,AND,1,1,0.246284
3,8,0,2,AND,1,2,7.72118
4,0,0,0,AND,1,0,3.82397
4,1,0,0,AND,1,1,2.85073
4,2,0,0,AND,1,2,8.15668
4,3,0,1,AND,1,0,9.953
4,4,0,1,AND,1,1,3.72692
4,5,0,1,AND,1,2,0.0146489
4,6,0,2,AND,1,0,9.28953
4,7,0,2,AND,1,1,0.246284
4,8,0,2,AND,1,2,4.84359
5,0,0,0,AND,1,0,3.82397
5,1,0,0,AND,1,1,2.85073
5,2,0,0,AND,1,2,8.15668
5,3,0,1,AND,1,0,9.953
5,4,0,1,AND,1,1,3.72692
5,5,0,1,AND,1,2,0.0146489
5,6,0,2,AND,1,0,9.28953
5,7,0,2,AND,1,1,0.246284
5,8,0,2,AND,1,2,1.58086
6,0,0,0,AND,1,0,3.82397
6,1,0,0,AND,1,1,2.85073
6,2,0,0,AND,1,2,8.15668
6,3,0,1,AND,1,0,9.953
6,4,0,1,AND,1,1,3.72692
6,5,0,1,AND,1,2,0.0146489
6,6,0,2,AND,1,0,9.28953
6,7,0,2,AND,1,1,0.246284
6,8,0,2,AND,1,2,8.9169
7,0,0,0,AND,1,0,3.82397
7,1,0,0,AND,1,1,2.85073
7,2,0,0,AND,1,2,8.15668
7,3,0,1,AND,1,0,9.953
7,4,0,1,AND,1,1,3.72692
7,5,0,1,AND,1,2,0.0146489
7,6,0,2,AND,1,0,9.28953
7,7,0,2,AND,1,1,0.79165
7,8,0,2,AND,1,2,6.27735
8,0,0,0,AND,1,0,3.82397
8,1,0,0,AND,1,1,2.85073
8,2,0,0,AND,1,2,8.15668
8,3,0,1,AND,1,0,9.953
8,4,0,1,AND,1,1,3.72692
8,5,0,1,AND,1,2,0.0146489
8,6,0,2,AND,1,0,9.28953
8,7,0,2,AND,1,1,0.246284
8,8,0,2,AND,1,2,2.41005
9,0,0,0,AND,1,0,3.82397
9,1,0,0,AND,1,1,2.85073
9,2,0,0,AND,1,2,8.15668
9,3,0,1,AND,1,0,9.953
9,4,0,1,AND,1,1,3.72692
9,5,0,1,AND,1,2,0.0146489
9,6,0,2,AND,1,0,9.28953
9,7,0,2,AND,1,1,0.246284
9,8,0,2,AND,1,2,8.94467
10,0,0,0,AND,1,0,3.82397
10,1,0,0,AND,1,1,2.85073
10,2,0,0,AND,1,2,8.15668
10,3,0,1,AND,1,0,9.953
10,4,0,1,AND,1,1,3.72692
10,5,0,1,AND,1,2,0.0146489
10,6,0,2,AND,1,0,9.28953
10,7,0,2,AND,1,1,0.246284
10,8,0,2,AND,1,2,0.0405896
11,0,0,0,AND,1,0,3.82397
11,1,0,0,AND,1,1,2.85073
11,2,0,0,AND,1,2,8.15668
11,3,0,1,AND,1,0,9.953
11,4,0,1,AND,1,1,3.72692
11,5,0,1,AND,1,2,0.0146489
11,6,0,2,AND,1,0,9.28953
11,7,0,2,AND,1,1,0.79165
11,8,0,2,AND,1,2,8.18293
12,0,0,0,AND,1,0,3.82397
12,1,0,0,AND,1,1,2.85073
12,2,0,0,AND,1,2,8.15668
12,3,0,1,AND,1,0,9.953
12,4,0,1,AND,1,1,3.72692
12,5,0,1,AND,1,2,0.0146489
12,6,0,2,AND,1,0,9.28953
12,7,0,2,AND,1,1,0.268258
12,8,0,2,AND,1,2,4.24757
13,0,0,0,AND,1,0,3.82397
13,1,0,0,AND,1,1,2.85073
13,2,0,0,AND,1,2,8.15668
13,3,0,1,AND,1,0,9.953
13,4,0,1,AND,1,1,3.72692
13,5,0,1,AND,1,2,0.0146489
13,6,0,2,AND,1,0,9.28953
13,7,0,2,AND,1,1,0.503555
13,8,0,2,AND,1,2,5.69628
14,0,0,0,AND,1,0,3.82397
14,1,0,0,AND,1,1,2.85073
14,2,0,0,AND,1,2,8.15668
14,3,0,1,AND,1,0,9.953
14,4,0,1,AND,1,1,3.72692
14,5,0,1,AND,1,2,0.0146489
14,6,0,2,AND,1,0,9.28953
14,7,0,2,AND,1,1,0.79165
14,8,0,2,AND,1,2,6.36982
15,0,0,0,AND,1,0,3.82397
15,1,0,0,AND,1,1,2.85073
15,2,0,0,AND,1,2,8.15668
15,3,0,1,AND,1,0,9.953
15,4,0,1,AND,1,1,3.72692
15,5,0,1,AND,1,2,0.0146489
15,6,0,2,AND,1,0,6.11011
15,7,0,2,AND,1,1,0.79165
15,8,0,2,AND,1,2,1.15146
16,0,0,0,AND,1,0,3.82397
16,1,0,0,AND,1,1,2.85073
16,2,0,0,AND,1,2,8.15668
16,3,0,1,AND,1,0,9.953
16,4,0,1,AND,1,1,3.72692
16,5,0,1,AND,1,2,0.0146489
16,6,0,2,AND,1,0,9.28953
16,7,0,2,AND,1,1,0.246284
16,8,0,2,AND,1,2,4.95254
17,0,0,0,AND,1,0,3.82397
17,1,0,0,AND,1,1,2.85073
17,2,0,0,AND,1,2,8.15668
17,3,0,1,AND,1,0,9.953
17,4,0,1,AND,1,1,3.72692
17,5,0,1,AND,1,2,0.0146489
17,6,0,2,AND,1,0,9.28953
17,7,0,2,AND,1,1,0.79165
17,8,0,2,AND,1,2,4.32325
18,0,0,0,AND,1,0,3.82397
18,1,0,0,AND,1,1,2.85073
18,2,0,0,AND,1,2,8.15668
18,3,0,1,AND,1,0,9.953
18,4,0,1,AND,1,1,3.72692
18,5,0,1,AND,1,2,0.0146489
18,6,0,2,AND,1,0,9.28953
18,7,0,2,AND,1,1,0.79165
18,8,0,2,AND,1,2,7.74712
19,0,0,0,AND,1,0,3.82397
19,1,0,0,AND,1,1,2.85073
19,2,0,0,AND,1,2,8.15668
19,3,0,1,AND,1,0,9.953
19,4,0,1,AND,1,1,3.72692
19,5,0,1,AND,1,2,0.0146489
19,6,0,2,AND,1,0,9.28953
19,7,0,2,AND,1,1,0.79165
19,8,0,2,AND,1,2,3.58654
20,0,0,0,AND,1,0,3.82397
20,1,0,0,AND,1,1,2.85073
20,2,0,0,AND,1,2,8.15668
20,3,0,1,AND,1,0,9.953
20,4,0,1,AND,1,1,3.72692
20,5,0,1,AND,1,2,0.0146489
20,6,0,2,AND,1,0,9.28953
20,7,0,2,AND,1,1,0.246284
20,8,0,2,AND,1,2,8.96146
21,0,0,0,AND,1,0,3.82397
21,1,0,0,AND,1,1,2.85073
21,2,0,0,AND,1,2,8.15668
21,3,0,1,AND,1,0,9.953
21,4,0,1,AND,1,1,3.72692
21,5,0,1,AND,1,2,0.0146489
21,6,0,2,AND,1,0,9.28953
21,7,0,2,AND,1,1,0.246284
21,8,0,2,AND,1,2,4.81887
22,0,0,0,AND,1,0,3.82397
22,1,0,0,AND,1,1,2.85073
22,2,0,0,AND,1,2,8.15668
22,3,0,1,AND,1,0,9.953
22,4,0,1,AND,1,1,3.72692
22,5,0,1,AND,1,2,0.0146489
22,6,0,2,AND,1,0,9.28953
22,7,0,2,AND,1,1,0.79165
22,8,0,2,AND,1,2,8.32942
23,0,0,0,AND,1,0,3.82397
23,1,0,0,AND,1,1,2.85073
23,2,0,0,AND,1,2,8.15668
23,3,0,1,AND,1,0,9.953
23,4,0,1,AND,1,1,3.72692
23,5,0,1,AND,1,2,0.0146489
23,6,0,2,AND,1,0,9.28953
23,7,0,2,AND,1,1,0.246284
23,8,0,2,AND,1,2,9.7766
24,0,0,0,AND,1,0,3.82397
24,1,0,0,AND,1,1,2.85073
24,2,0,0,AND,1,2,8.15668
24,3,0,1,AND,1,0,9.953
