Controller,Rule,Input Variable 1,Input Set 1,Modifier,Input Variable 2,Input Set 2,Output Value
0,0,0,0,AND,1,0,7.528
0,1,0,0,AND,1,1,3.11655
0,2,0,0,AND,1,2,7.98395
0,3,0,1,AND,1,0,5.48906
0,4,0,1,AND,1,1,0.456862
0,5,0,1,AND,1,2,4.64156
0,6,0,2,AND,1,0,1.83111
0,7,0,2,AND,1,1,0.702536
0,8,0,2,AND,1,2,5.53941
1,0,0,0,AND,1,0,7.528
1,1,0,0,AND,1,1,3.11655
1,2,0,0,AND,1,2,7.98395
1,3,0,1,AND,1,0,5.48906
1,4,0,1,AND,1,1,0.456862
1,5,0,1,AND,1,2,4.64156
1,6,0,2,AND,1,0,2.00293
1,7,0,2,AND,1,1,0.702536
1,8,0,2,AND,1,2,4.74624
2,0,0,0,AND,1,0,7.528
2,1,0,0,AND,1,1,3.11655
2,2,0,0,AND,1,2,7.98395
2,3,0,1,AND,1,0,5.48906
2,4,0,1,AND,1,1,0.456862
2,5,0,1,AND,1,2,4.64156
2,6,0,2,AND,1,0,1.83111
2,7,0,2,AND,1,1,3.30668
2,8,0,2,AND,1,2,0.80752
3,0,0,0,AND,1,0,7.528
3,1,0,0,AND,1,1,3.11655
3,2,0,0,AND,1,2,7.98395
3,3,0,1,AND,1,0,5.48906
3,4,0,1,AND,1,1,0.456862
3,5,0,1,AND,1,2,4.64156
3,6,0,2,AND,1,0,1.83111
3,7,0,2,AND,1,1,0.702536
3,8,0,2,AND,1,2,2.69417
4,0,0,0,AND,1,0,7.528
4,1,0,0,AND,1,1,3.11655
4,2,0,0,AND,1,2,7.98395
4,3,0,1,AND,1,0,5.48906
4,4,0,1,AND,1,1,0.456862
4,5,0,1,AND,1,2,4.64156
4,6,0,2,AND,1,0,1.83111
4,7,0,2,AND,1,1,0.614338
4,8,0,2,AND,1,2,3.29539
5,0,0,0,AND,1,0,7.528
5,1,0,0,AND,1,1,3.11655
5,2,0,0,AND,1,2,7.98395
5,3,0,1,AND,1,0,5.48906
5,4,0,1,AND,1,1,0.456862
5,5,0,1,AND,1,2,4.64156
5,6,0,2,AND,1,0,1.83111
5,7,0,2,AND,1,1,0.702536
5,8,0,2,AND,1,2,9.27793
6,0,0,0,AND,1,0,7.528
6,1,0,0,AND,1,1,3.11655
6,2,0,0,AND,1,2,7.98395
6,3,0,1,AND,1,0,5.48906
6,4,0,1,AND,1,1,0.456862
6,5,0,1,AND,1,2,4.64156
6,6,0,2,AND,1,0,1.83111
6,7,0,2,AND,1,1,0.702536
6,8,0,2,AND,1,2,3.87402
7,0,0,0,AND,1,0,7.528
7,1,0,0,AND,1,1,3.11655
7,2,0,0,AND,1,2,7.98395
7,3,0,1,AND,1,0,5.48906
7,4,0,1,AND,1,1,0.456862
7,5,0,1,AND,1,2,4.64156
7,6,0,2,AND,1,0,2.00293
7,7,0,2,AND,1,1,0.702536
7,8,0,2,AND,1,2,9.71923
8,0,0,0,AND,1,0,7.528
8,1,0,0,AND,1,1,3.11655
8,2,0,0,AND,1,2,7.98395
8,3,0,1,AND,1,0,5.48906
8,4,0,1,AND,1,1,4.81643
8,5,0,1,AND,1,2,0.753197
8,6,0,2,AND,1,0,6.89138
8,7,0,2,AND,1,1,0.11597
8,8,0,2,AND,1,2,3.93902
9,0,0,0,AND,1,0,7.528
9,1,0,0,AND,1,1,3.11655
9,2,0,0,AND,1,2,7.98395
9,3,0,1,AND,1,0,5.48906
9,4,0,1,AND,1,1,0.456862
9,5,0,1,AND,1,2,4.64156
9,6,0,2,AND,1,0,1.83111
9,7,0,2,AND,1,1,0.702536
9,8,0,2,AND,1,2,1.71148
10,0,0,0,AND,1,0,1.09622
10,1,0,0,AND,1,1,3.4727
10,2,0,0,AND,1,2,7.98395
10,3,0,1,AND,1,0,5.46098
10,4,0,1,AND,1,1,4.81643
10,5,0,1,AND,1,2,0.753197
10,6,0,2,AND,1,0,6.89138
10,7,0,2,AND,1,1,0.11597
10,8,0,2,AND,1,2,3.66558
11,0,0,0,AND,1,0,7.528
11,1,0,0,AND,1,1,3.11655
11,2,0,0,AND,1,2,5.88702
11,3,0,1,AND,1,0,5.46098
11,4,0,1,AND,1,1,0.680258
11,5,0,1,AND,1,2,5.52934
11,6,0,2,AND,1,0,2.28309
11,7,0,2,AND,1,1,0.0369274
11,8,0,2,AND,1,2,3.06375
12,0,0,0,AND,1,0,1.09622
12,1,0,0,AND,1,1,3.4727
12,2,0,0,AND,1,2,7.98395
12,3,0,1,AND,1,0,5.46098
12,4,0,1,AND,1,1,4.81643
12,5,0,1,AND,1,2,0.753197
12,6,0,2,AND,1,0,6.89138
12,7,0,2,AND,1,1,0.11597
12,8,0,2,AND,1,2,6.92923
13,0,0,0,AND,1,0,3.43608
